Gravando log em: c:\Users\lgng\Desktop\Projeto Transformador II\tcc\logs\Vgg4\V1\log_treino_df.txt
Número de imagens no dataset de treino: 76507
Número de imagens no dataset de validação: 9563

Classes detectadas no treino: ['fake', 'real']
Mapeamento de classe para índice: {'fake': 0, 'real': 1}
GPU: NVIDIA GeForce GTX 1050 Ti
Class weights: [0.34072697 1.6592729 ]
Epoch 6/100 | Step 1900/2391 | Loss 0.4833
Epoch 6/100 | Step 2000/2391 | Loss 0.5055
Epoch 6/100 | Step 2100/2391 | Loss 0.5141
Epoch 6/100 | Step 2200/2391 | Loss 0.4982
Epoch 6/100 | Step 2300/2391 | Loss 0.4935
[Val] Epoch 6 | Acc=0.8055
[OK] Melhor modelo salvo! Val Acc: 0.8055
Epoch 7/100 | Step 100/2391 | Loss 0.4996
Epoch 7/100 | Step 200/2391 | Loss 0.4855
Epoch 7/100 | Step 300/2391 | Loss 0.4849
Epoch 7/100 | Step 400/2391 | Loss 0.5061
Epoch 7/100 | Step 500/2391 | Loss 0.4943
Epoch 7/100 | Step 600/2391 | Loss 0.4860
Epoch 7/100 | Step 700/2391 | Loss 0.4612
Epoch 7/100 | Step 800/2391 | Loss 0.4921
Epoch 7/100 | Step 900/2391 | Loss 0.5093
Epoch 7/100 | Step 1000/2391 | Loss 0.4797
Epoch 7/100 | Step 1100/2391 | Loss 0.4874
Epoch 7/100 | Step 1200/2391 | Loss 0.4909
Epoch 7/100 | Step 1300/2391 | Loss 0.4825
Epoch 7/100 | Step 1400/2391 | Loss 0.5041
Epoch 7/100 | Step 1500/2391 | Loss 0.4980
Epoch 7/100 | Step 1600/2391 | Loss 0.4727
Epoch 7/100 | Step 1700/2391 | Loss 0.4522
Epoch 7/100 | Step 1800/2391 | Loss 0.4560
Epoch 7/100 | Step 1900/2391 | Loss 0.4853
Epoch 7/100 | Step 2000/2391 | Loss 0.4654
Epoch 7/100 | Step 2100/2391 | Loss 0.4760
Epoch 7/100 | Step 2200/2391 | Loss 0.4759
Epoch 7/100 | Step 2300/2391 | Loss 0.4842
[Val] Epoch 7 | Acc=0.6543
Sem melhora há 1 épocas
Epoch 8/100 | Step 100/2391 | Loss 0.4687
Epoch 8/100 | Step 200/2391 | Loss 0.4821
Epoch 8/100 | Step 300/2391 | Loss 0.4758
Epoch 8/100 | Step 400/2391 | Loss 0.4751
Epoch 8/100 | Step 500/2391 | Loss 0.4666
Epoch 8/100 | Step 600/2391 | Loss 0.4565
